               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.046472,            0.010325,            0.001564,             0.85333,             0.85577,             0.89434,              0.4372,            0.047364,           0.0063756,          0.00025565,           0.0070246,           0.0070246,           0.0070246
                  91,            0.046621,            0.010491,           0.0012383,             0.72229,             0.84615,             0.80199,              0.3908,            0.051823,           0.0067167,           0.0026001,           0.0069919,           0.0069919,           0.0069919
                  92,            0.046269,            0.010131,           0.0013991,             0.70817,             0.82707,             0.68882,             0.21053,            0.051735,           0.0067368,           0.0037258,           0.0069589,           0.0069589,           0.0069589
                  93,            0.044472,            0.010229,           0.0014586,             0.81066,             0.82212,             0.83551,             0.35154,            0.047834,           0.0065488,           0.0042435,           0.0069257,           0.0069257,           0.0069257
                  94,            0.048327,            0.010487,           0.0030826,             0.89611,             0.85559,             0.82126,               0.365,            0.051815,           0.0064442,          0.00017757,           0.0068923,           0.0068923,           0.0068923
                  95,            0.046187,            0.010268,           0.0018825,             0.77475,             0.90391,             0.85052,             0.39783,            0.044483,           0.0068818,           0.0014708,           0.0068586,           0.0068586,           0.0068586
                  96,            0.044455,            0.010415,            0.001135,             0.72817,              0.8589,             0.87291,             0.37231,            0.043631,           0.0067843,           0.0030987,           0.0068246,           0.0068246,           0.0068246
                  97,            0.045087,           0.0098793,           0.0013685,             0.80939,             0.86476,             0.82126,             0.36901,            0.045927,            0.006473,           0.0018219,           0.0067905,           0.0067905,           0.0067905
                  98,            0.045985,           0.0097857,           0.0012375,             0.61346,             0.57822,             0.44872,             0.10938,            0.059532,           0.0066043,            0.018168,           0.0067561,           0.0067561,           0.0067561
                  99,            0.045017,            0.010075,           0.0012861,             0.65467,             0.70747,             0.54179,             0.13879,             0.06167,           0.0065834,           0.0025896,           0.0067215,           0.0067215,           0.0067215
                 100,            0.046355,            0.010363,           0.0013803,             0.62926,             0.82129,             0.60131,             0.23442,            0.051017,           0.0068355,           0.0039622,           0.0066866,           0.0066866,           0.0066866
                 101,            0.047822,            0.010422,           0.0014091,             0.78858,             0.87468,             0.83278,             0.38086,            0.047077,           0.0064643,           0.0026323,           0.0066516,           0.0066516,           0.0066516
                 102,            0.045757,            0.010508,           0.0016338,             0.84554,             0.88462,             0.91126,             0.41158,            0.044317,           0.0064309,           0.0029052,           0.0066163,           0.0066163,           0.0066163
                 103,            0.045243,            0.010616,           0.0014637,              0.9039,             0.86058,             0.87669,             0.43285,            0.045263,           0.0064975,          0.00026389,           0.0065808,           0.0065808,           0.0065808
                 104,            0.043789,              0.0102,           0.0021771,             0.82223,             0.87981,             0.79199,             0.37943,            0.045233,           0.0066561,          0.00065774,           0.0065452,           0.0065452,           0.0065452
                 105,            0.045707,            0.010332,           0.0018339,             0.85651,             0.86523,             0.86074,             0.42845,             0.04653,           0.0071112,          0.00034359,           0.0065093,           0.0065093,           0.0065093
                 106,            0.043017,           0.0098095,           0.0013057,             0.76965,             0.88919,             0.85392,             0.40405,            0.042756,           0.0070429,           0.0087097,           0.0064732,           0.0064732,           0.0064732
                 107,            0.044339,           0.0098964,           0.0010883,              0.7729,             0.87981,             0.78902,             0.41684,            0.044711,           0.0066169,           0.0052503,           0.0064369,           0.0064369,           0.0064369
                 108,            0.042954,            0.010309,           0.0011927,             0.84404,             0.80288,             0.78915,             0.38983,            0.050909,           0.0066002,           0.0073976,           0.0064005,           0.0064005,           0.0064005
                 109,            0.044404,            0.009997,            0.001047,             0.87201,              0.9084,             0.90992,             0.42432,            0.044576,           0.0069153,           0.0014125,           0.0063638,           0.0063638,           0.0063638
                 110,            0.045505,            0.010053,          0.00091545,             0.79031,             0.85096,             0.87818,             0.45502,            0.045859,           0.0064353,           0.0035367,            0.006327,            0.006327,            0.006327
